"","Year","Precipitation","Yield","Cell"
"1",2055,418.083,0,"453911731_CCF"
"2",2056,391.967,7221.2,"453911731_CCF"
"3",2057,514.836,7302.2,"453911731_CCF"
"4",2058,528.042,7144,"453911731_CCF"
"5",2059,567.084,7583.7,"453911731_CCF"
"6",2060,421.683,6640.9,"453911731_CCF"
"7",2061,587.876,7730.6,"453911731_CCF"
"8",2062,411.626,6104.5,"453911731_CCF"
"9",2063,540.437,7275.7,"453911731_CCF"
"10",2064,570.635,8135,"453911731_CCF"
"11",2065,425.496,8263.1,"453911731_CCF"
"12",2066,356.259,4951.8,"453911731_CCF"
"13",2067,553.977,8441.3,"453911731_CCF"
"14",2068,442.738,6652.4,"453911731_CCF"
"15",2069,602.005,5960.5,"453911731_CCF"
"16",2070,441.511,7553.2,"453911731_CCF"
"17",2071,472.331,6480.4,"453911731_CCF"
"18",2072,479.784,7645.1,"453911731_CCF"
"19",2073,536.088,7403.5,"453911731_CCF"
"20",2074,688.492,6951.5,"453911731_CCF"
"21",2075,547.038,8001.8,"453911731_CCF"
"22",2076,867.924,7955.7,"453911731_CCF"
"23",2077,462.48,8485.2,"453911731_CCF"
"24",2078,464.276,7665.1,"453911731_CCF"
"25",2079,592.221,7954.5,"453911731_CCF"
"26",2080,480.372,7326.7,"453911731_CCF"
"27",2081,596.579,8123.1,"453911731_CCF"
"28",2082,483.173,7764.3,"453911731_CCF"
"29",2083,422.463,6053.1,"453911731_CCF"
"30",2084,297.214,6117.6,"453911731_CCF"
"31",2085,331.175,7379.6,"453911731_CCF"
"32",2055,201.853,0,"476411993_CF"
"33",2056,234.146,7074.4,"476411993_CF"
"34",2057,292.155,3724.6,"476411993_CF"
"35",2058,226.201,2542.4,"476411993_CF"
"36",2059,322.17,4970.4,"476411993_CF"
"37",2060,241.714,4725.3,"476411993_CF"
"38",2061,301.288,4047.9,"476411993_CF"
"39",2062,213.397,5565.2,"476411993_CF"
"40",2063,427.668,5182.9,"476411993_CF"
"41",2064,260.509,6299.4,"476411993_CF"
"42",2065,246.27,3428.8,"476411993_CF"
"43",2066,204.704,4338,"476411993_CF"
"44",2067,241.347,5465.9,"476411993_CF"
"45",2068,237.131,1408.8,"476411993_CF"
"46",2069,324.544,4455.8,"476411993_CF"
"47",2070,302.08,6107.8,"476411993_CF"
"48",2071,282.688,4776.5,"476411993_CF"
"49",2072,286.63,3416.7,"476411993_CF"
"50",2073,252.441,5581,"476411993_CF"
"51",2074,530.323,5331.8,"476411993_CF"
"52",2075,333.79,6301.2,"476411993_CF"
"53",2076,346.676,5950.9,"476411993_CF"
"54",2077,363.765,6706.5,"476411993_CF"
"55",2078,237.256,6082.4,"476411993_CF"
"56",2079,417.308,4780,"476411993_CF"
"57",2080,277.58,5619.7,"476411993_CF"
"58",2081,304.374,6641.8,"476411993_CF"
"59",2082,354.029,6316.8,"476411993_CF"
"60",2083,261.944,5479.1,"476411993_CF"
"61",2084,180.351,3766.2,"476411993_CF"
"62",2085,154.496,2704.6,"476411993_CF"
"63",2055,539.481,0,"461411652_CC"
"64",2056,654.693,7747.9,"461411652_CC"
"65",2057,730.588,7948.8,"461411652_CC"
"66",2058,667.768,7628.4,"461411652_CC"
"67",2059,742.326,8583.2,"461411652_CC"
"68",2060,610.742,7628.1,"461411652_CC"
"69",2061,784.491,7366.9,"461411652_CC"
"70",2062,614.835,7071.3,"461411652_CC"
"71",2063,803.985,7928.2,"461411652_CC"
"72",2064,717.949,7591,"461411652_CC"
"73",2065,670.042,8566.9,"461411652_CC"
"74",2066,535.054,6611.7,"461411652_CC"
"75",2067,727.205,8595,"461411652_CC"
"76",2068,635.858,7080.2,"461411652_CC"
"77",2069,768.972,6764.4,"461411652_CC"
"78",2070,657.511,7133.6,"461411652_CC"
"79",2071,634.64,6552,"461411652_CC"
"80",2072,637.616,7995,"461411652_CC"
"81",2073,766.122,7364.6,"461411652_CC"
"82",2074,913.933,6865.6,"461411652_CC"
"83",2075,774.289,8270.4,"461411652_CC"
"84",2076,1032.54,7255.8,"461411652_CC"
"85",2077,723.477,8152.5,"461411652_CC"
"86",2078,665.004,7795.9,"461411652_CC"
"87",2079,873.743,7550.7,"461411652_CC"
"88",2080,582.472,7800.1,"461411652_CC"
"89",2081,835.216,7990.8,"461411652_CC"
"90",2082,706.473,7356.9,"461411652_CC"
"91",2083,647.452,8233.3,"461411652_CC"
"92",2084,422.994,6602.3,"461411652_CC"
"93",2085,542.891,7199,"461411652_CC"
