"","Year","Precipitation","Yield","Cell"
"1",2055,475.599,0,"453911731_CCF"
"2",2056,468.901,8265.3,"453911731_CCF"
"3",2057,353.016,6997.6,"453911731_CCF"
"4",2058,381.399,5084.7,"453911731_CCF"
"5",2059,462.996,9247.3,"453911731_CCF"
"6",2060,391.641,7730.5,"453911731_CCF"
"7",2061,408.411,7069.2,"453911731_CCF"
"8",2062,380.173,6992.4,"453911731_CCF"
"9",2063,411.093,6838.6,"453911731_CCF"
"10",2064,511.755,7516.8,"453911731_CCF"
"11",2065,476.057,7327.8,"453911731_CCF"
"12",2066,408.269,8523.9,"453911731_CCF"
"13",2067,353.538,5949.5,"453911731_CCF"
"14",2068,407.849,7548.3,"453911731_CCF"
"15",2069,371.9,6561.7,"453911731_CCF"
"16",2070,362.057,3112.6,"453911731_CCF"
"17",2071,359.654,6651.3,"453911731_CCF"
"18",2072,294.224,7831.5,"453911731_CCF"
"19",2073,448.732,6595,"453911731_CCF"
"20",2074,453.548,6749.7,"453911731_CCF"
"21",2075,384.281,8367.9,"453911731_CCF"
"22",2076,383.291,7097.1,"453911731_CCF"
"23",2077,311.589,5304,"453911731_CCF"
"24",2078,319.803,7002.8,"453911731_CCF"
"25",2079,501.643,2957.7,"453911731_CCF"
"26",2080,595.653,9198.1,"453911731_CCF"
"27",2081,467.202,6900.7,"453911731_CCF"
"28",2082,462.707,6628.1,"453911731_CCF"
"29",2083,304.856,5890.8,"453911731_CCF"
"30",2084,439.7,6981.7,"453911731_CCF"
"31",2085,438.748,6344.9,"453911731_CCF"
"32",2055,359.932,0,"476411993_CF"
"33",2056,319.821,6702.9,"476411993_CF"
"34",2057,241.203,5816.8,"476411993_CF"
"35",2058,167.16,1990.2,"476411993_CF"
"36",2059,266.808,2837.5,"476411993_CF"
"37",2060,242.113,5058.1,"476411993_CF"
"38",2061,200.433,5338.3,"476411993_CF"
"39",2062,135.679,2283.4,"476411993_CF"
"40",2063,197.514,3278,"476411993_CF"
"41",2064,297.181,2933.9,"476411993_CF"
"42",2065,255.632,3031.6,"476411993_CF"
"43",2066,204.611,4005.3,"476411993_CF"
"44",2067,137.461,1229.8,"476411993_CF"
"45",2068,183.415,2144.7,"476411993_CF"
"46",2069,190.682,2998.4,"476411993_CF"
"47",2070,238.475,2436,"476411993_CF"
"48",2071,286.865,3540.9,"476411993_CF"
"49",2072,211.422,6291.6,"476411993_CF"
"50",2073,326.342,2959.2,"476411993_CF"
"51",2074,214.058,5959.5,"476411993_CF"
"52",2075,213.58,3115.6,"476411993_CF"
"53",2076,242.447,3157.3,"476411993_CF"
"54",2077,184.069,2902.4,"476411993_CF"
"55",2078,184.205,2372.1,"476411993_CF"
"56",2079,308.389,2376.4,"476411993_CF"
"57",2080,335.434,5045.1,"476411993_CF"
"58",2081,299.568,4118,"476411993_CF"
"59",2082,247.939,3115.7,"476411993_CF"
"60",2083,219.437,3087.3,"476411993_CF"
"61",2084,226.415,3073.6,"476411993_CF"
"62",2085,251.141,2382.9,"476411993_CF"
"63",2055,702.922,0,"461411652_CC"
"64",2056,722.372,9067.1,"461411652_CC"
"65",2057,562.785,8535,"461411652_CC"
"66",2058,596.385,8634.3,"461411652_CC"
"67",2059,606.553,10066.5,"461411652_CC"
"68",2060,578.136,7897.2,"461411652_CC"
"69",2061,585.935,7913.3,"461411652_CC"
"70",2062,563.746,9080,"461411652_CC"
"71",2063,521.744,7858.9,"461411652_CC"
"72",2064,770.617,8930.4,"461411652_CC"
"73",2065,579.724,8124.8,"461411652_CC"
"74",2066,587.593,7777.5,"461411652_CC"
"75",2067,471.762,7655.2,"461411652_CC"
"76",2068,609.675,7855.9,"461411652_CC"
"77",2069,585.015,7665.2,"461411652_CC"
"78",2070,529.275,6498.8,"461411652_CC"
"79",2071,527.227,7179.1,"461411652_CC"
"80",2072,434.868,7852.1,"461411652_CC"
"81",2073,636.296,8497.9,"461411652_CC"
"82",2074,595.076,7091.4,"461411652_CC"
"83",2075,517.694,8184.3,"461411652_CC"
"84",2076,607.311,7884.7,"461411652_CC"
"85",2077,586.703,8180,"461411652_CC"
"86",2078,426.45,7765.9,"461411652_CC"
"87",2079,748.46,6869.4,"461411652_CC"
"88",2080,840.275,8534.4,"461411652_CC"
"89",2081,668.932,7211,"461411652_CC"
"90",2082,630.707,7465.4,"461411652_CC"
"91",2083,432.174,7162.7,"461411652_CC"
"92",2084,656.984,6865.9,"461411652_CC"
"93",2085,687.749,6986.9,"461411652_CC"
