	ET	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	cell	date
1/1/2055	4.3962	8.702	113212.1456	1.3513	453911731_CCF	1/1/2055
1/1/2056	372.271	37.911	98433.1263	101.3172	453911731_CCF	1/1/2056
1/1/2057	416.4731	36.4267	85680.1398	163.3428	453911731_CCF	1/1/2057
1/1/2058	434.9089	32.3969	108574.6931	146.0254	453911731_CCF	1/1/2058
1/1/2059	410.982	32.7673	108502.3742	142.0815	453911731_CCF	1/1/2059
1/1/2060	398.5703	36.6762	104126.7571	132.894	453911731_CCF	1/1/2060
1/1/2061	391.9195	34.5019	110523.0106	151.7326	453911731_CCF	1/1/2061
1/1/2062	353.4339	43.2858	99371.5773	104.6657	453911731_CCF	1/1/2062
1/1/2063	421.408	42.3125	102971.894	178.4207	453911731_CCF	1/1/2063
1/1/2064	367.0692	42.753	131727.6175	134.0266	453911731_CCF	1/1/2064
1/1/2065	382.0716	48.2277	104471.862	109.0629	453911731_CCF	1/1/2065
1/1/2066	371.0081	43.9362	92161.6837	141.3639	453911731_CCF	1/1/2066
1/1/2067	364.0852	39.9849	126761.3179	134.7013	453911731_CCF	1/1/2067
1/1/2068	410.9422	43.4129	100811.4302	163.9589	453911731_CCF	1/1/2068
1/1/2069	346.975	42.2305	112480.4091	125.821	453911731_CCF	1/1/2069
1/1/2070	375.5283	57.5612	110766.2095	139.3211	453911731_CCF	1/1/2070
1/1/2071	354.1056	55.308	102331.8252	132.9289	453911731_CCF	1/1/2071
1/1/2072	401.13	53.2433	108635.4922	142.3971	453911731_CCF	1/1/2072
1/1/2073	395.1993	50.1063	110003.7384	116.924	453911731_CCF	1/1/2073
1/1/2074	419.0745	58.8324	129280.4909	158.9215	453911731_CCF	1/1/2074
1/1/2075	420.8722	68.966	108550.8557	151.8674	453911731_CCF	1/1/2075
1/1/2076	402.5237	72.0132	154799.7071	159.0611	453911731_CCF	1/1/2076
1/1/2077	371.1456	72.635	176891.5645	125.4088	453911731_CCF	1/1/2077
1/1/2078	393.2109	72.635	141475.5007	134.2638	453911731_CCF	1/1/2078
1/1/2079	390.494	72.635	127264.5876	148.45	453911731_CCF	1/1/2079
1/1/2080	393.306	72.834	130259.0532	169.2763	453911731_CCF	1/1/2080
1/1/2081	405.5543	72.635	139280.2162	162.153	453911731_CCF	1/1/2081
1/1/2082	430.3452	72.635	132928.5556	156.7238	453911731_CCF	1/1/2082
1/1/2083	351.8339	71.4359	96326.785	126.2885	453911731_CCF	1/1/2083
1/1/2084	343.9881	63.3002	89895.4627	109.0508	453911731_CCF	1/1/2084
1/1/2085	400.3619	55.9495	80360.9918	127.0528	453911731_CCF	1/1/2085
2055-01-011	12.5411	1.3505	103930.5782	1.4728	476411993_CF	1/1/2055
2056-01-011	339.4038	1.3667	107966.4786	76.7176	476411993_CF	1/1/2056
2057-01-011	317.5939	1.4119	70050.5597	128.6628	476411993_CF	1/1/2057
2058-01-011	277.6818	1.2392	61613.1412	116.3538	476411993_CF	1/1/2058
2059-01-011	276.8146	0.4132	65555.056	102.0144	476411993_CF	1/1/2059
2060-01-011	249.0101	0.0302	79467.4815	59.3888	476411993_CF	1/1/2060
2061-01-011	235.7541	0.0305	69681.0963	108.5751	476411993_CF	1/1/2061
2062-01-011	254.3134	0.0279	77569.8739	47.8853	476411993_CF	1/1/2062
2063-01-011	311.9285	0.0325	79123.6647	148.2772	476411993_CF	1/1/2063
2064-01-011	367.7111	0.0366	92219.2398	112.7321	476411993_CF	1/1/2064
2065-01-011	179.2953	0.0292	69236.4152	92.3805	476411993_CF	1/1/2065
2066-01-011	238.6492	0.0325	73359.8268	66.8656	476411993_CF	1/1/2066
2067-01-011	298.0947	0.0327	68872.7542	103.2975	476411993_CF	1/1/2067
2068-01-011	145.3629	0.0256	61919.2556	95.7992	476411993_CF	1/1/2068
2069-01-011	239.3479	0.0322	77061.8193	86.0894	476411993_CF	1/1/2069
2070-01-011	374.0036	0.0356	93155.4366	116.6505	476411993_CF	1/1/2070
2071-01-011	301.6009	0.0336	72187.2005	104.7766	476411993_CF	1/1/2071
2072-01-011	193.8696	0.0284	74206.803	102.6338	476411993_CF	1/1/2072
2073-01-011	288.8158	0.0337	78626.0867	93.0986	476411993_CF	1/1/2073
2074-01-011	328.0816	0.0337	102694.5351	155.0642	476411993_CF	1/1/2074
2075-01-011	313.8834	1.0116	124877.0991	95.0958	476411993_CF	1/1/2075
2076-01-011	356.9204	1.277	115350.6213	126.5873	476411993_CF	1/1/2076
2077-01-011	327.7417	1.3578	108938.7785	100.7779	476411993_CF	1/1/2077
2078-01-011	315.7878	1.4094	86527.4811	85.9352	476411993_CF	1/1/2078
2079-01-011	305.6687	1.4582	83941.9426	108.2998	476411993_CF	1/1/2079
2080-01-011	328.1084	1.464	95889.0309	108.4418	476411993_CF	1/1/2080
2081-01-011	318.9618	1.46	89582.8527	114.5183	476411993_CF	1/1/2081
2082-01-011	377.2792	1.4558	84830.918	136.6963	476411993_CF	1/1/2082
2083-01-011	304.5013	0.6442	72803.541	83.1671	476411993_CF	1/1/2083
2084-01-011	229.7921	0.0302	64089.2248	80.9638	476411993_CF	1/1/2084
2085-01-011	176.8432	0.0267	58976.4598	74.3504	476411993_CF	1/1/2085
