	ET	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	cell	date
1/1/2055	15.3289	12.082	115178.6022	2.5908	453911731_CCF	1/1/2055
1/1/2056	443.7927	37.1963	100119.6535	152.1374	453911731_CCF	1/1/2056
1/1/2057	405.0614	34.8302	82914.5104	148.1688	453911731_CCF	1/1/2057
1/1/2058	373.4258	27.2767	74708.8909	184.2933	453911731_CCF	1/1/2058
1/1/2059	408.773	21.6913	86893.6512	127.72	453911731_CCF	1/1/2059
1/1/2060	395.432	18.1888	86742.7677	154.9922	453911731_CCF	1/1/2060
1/1/2061	355.8614	1.4933	87486.5888	112.453	453911731_CCF	1/1/2061
1/1/2062	379.8635	0	87043.9538	125.1796	453911731_CCF	1/1/2062
1/1/2063	351.8108	0	88243.5737	152.1663	453911731_CCF	1/1/2063
1/1/2064	401.5614	0	98706.8808	144.8003	453911731_CCF	1/1/2064
1/1/2065	410.6557	15.5462	106945.942	167.1301	453911731_CCF	1/1/2065
1/1/2066	412.5142	17.7852	99070.2096	147.0067	453911731_CCF	1/1/2066
1/1/2067	339.0685	6.1891	84003.0699	139.6928	453911731_CCF	1/1/2067
1/1/2068	362.7304	0	95020.6349	124.6272	453911731_CCF	1/1/2068
1/1/2069	428.8774	2.3376	86576.2972	151.5946	453911731_CCF	1/1/2069
1/1/2070	223.0748	0.3578	73152.9047	113.324	453911731_CCF	1/1/2070
1/1/2071	362.3273	0	85478.4545	141.2208	453911731_CCF	1/1/2071
1/1/2072	356.7444	0	77907.3626	126.8723	453911731_CCF	1/1/2072
1/1/2073	355.2928	0	73252.8952	161.3377	453911731_CCF	1/1/2073
1/1/2074	352.5401	0	98076.8302	139.2175	453911731_CCF	1/1/2074
1/1/2075	389.4976	16.2525	96568.341	114.7098	453911731_CCF	1/1/2075
1/1/2076	373.7768	11.4656	77088.8327	130.2353	453911731_CCF	1/1/2076
1/1/2077	281.4346	0	78222.9985	132.3652	453911731_CCF	1/1/2077
1/1/2078	391.2042	0	75803.4339	145.678	453911731_CCF	1/1/2078
1/1/2079	279.6024	0	84602.703	205.858	453911731_CCF	1/1/2079
1/1/2080	402.7581	16.1537	127141.8329	143.6956	453911731_CCF	1/1/2080
1/1/2081	406.398	28.1107	108184.8812	159.9389	453911731_CCF	1/1/2081
1/1/2082	366.6622	27.6369	110801.1473	140.6615	453911731_CCF	1/1/2082
1/1/2083	363.9578	27.7204	92139.4705	152.1609	453911731_CCF	1/1/2083
1/1/2084	386.3279	25.3797	91511.5123	152.9824	453911731_CCF	1/1/2084
1/1/2085	367.327	22.0201	90956.8097	152.7307	453911731_CCF	1/1/2085
2055-01-011	6.2965	1.3556	124684.564	1.7777	476411993_CF	1/1/2055
2056-01-011	394.9839	2.1733	110018.6533	145.476	476411993_CF	1/1/2056
2057-01-011	325.1115	2.2831	79865.6043	91.7527	476411993_CF	1/1/2057
2058-01-011	206.9765	2.1847	58561.0369	118.0429	476411993_CF	1/1/2058
2059-01-011	257.9347	1.8525	65735.8768	113.8021	476411993_CF	1/1/2059
2060-01-011	273.839	1.486	74482.4047	82.627	476411993_CF	1/1/2060
2061-01-011	296.7115	0.562	70645.9959	83.1567	476411993_CF	1/1/2061
2062-01-011	142.0505	0.0237	60141.9182	58.6748	476411993_CF	1/1/2062
2063-01-011	187.7919	0.029	59780.5029	76.712	476411993_CF	1/1/2063
2064-01-011	250.5026	0.0305	63649.8265	126.1649	476411993_CF	1/1/2064
2065-01-011	216.5686	0.0285	70602.3446	103.549	476411993_CF	1/1/2065
2066-01-011	285.5953	0.0297	65358.6223	131.774	476411993_CF	1/1/2066
2067-01-011	112.1256	0.0221	57965.2693	83.0918	476411993_CF	1/1/2067
2068-01-011	171.861	0.027	64252.9584	65.7181	476411993_CF	1/1/2068
2069-01-011	179.1132	0.0274	59734.112	66.9778	476411993_CF	1/1/2069
2070-01-011	223.2339	0.0307	64855.6489	76.1275	476411993_CF	1/1/2070
2071-01-011	188.6383	0.0298	67829.762	61.4707	476411993_CF	1/1/2071
2072-01-011	305.6103	0.0331	77421.6123	79.5737	476411993_CF	1/1/2072
2073-01-011	239.5993	0.0294	66965.0842	137.0914	476411993_CF	1/1/2073
2074-01-011	305.0087	0.034	76353.0901	75.9926	476411993_CF	1/1/2074
2075-01-011	173.2126	0.0279	58795.9089	79.532	476411993_CF	1/1/2075
2076-01-011	232.9986	0.031	65673.2139	74.1619	476411993_CF	1/1/2076
2077-01-011	198.8646	0.028	62441.0685	74.2798	476411993_CF	1/1/2077
2078-01-011	194.7323	0.0276	60957.1751	86.1725	476411993_CF	1/1/2078
2079-01-011	250.2596	0.0277	61647.3558	159.9457	476411993_CF	1/1/2079
2080-01-011	323.2454	0.0302	66881.3973	140.9221	476411993_CF	1/1/2080
2081-01-011	303.964	0.0327	71101.3056	123.9344	476411993_CF	1/1/2081
2082-01-011	237.4168	0.0284	67885.5768	131.2818	476411993_CF	1/1/2082
2083-01-011	259.5441	0.0293	64035.8918	115.267	476411993_CF	1/1/2083
2084-01-011	241.7911	0.028	60161.5039	125.9992	476411993_CF	1/1/2084
2085-01-011	205.612	0.0276	59770.6188	102.7697	476411993_CF	1/1/2085
2055-01-012	-42.8999	25.5223	193715.7586	2.003	461411652_CC	1/1/2055
2056-01-012	390.2232	64.818	202699.5017	140.8241	461411652_CC	1/1/2056
2057-01-012	366.755	72.4905	199667.9275	134.6109	461411652_CC	1/1/2057
2058-01-012	381.1132	72.6287	199868.3575	141.1179	461411652_CC	1/1/2058
2059-01-012	378.7169	72.635	211289.101	121.5982	461411652_CC	1/1/2059
2060-01-012	361.6301	72.834	213661.8049	138.942	461411652_CC	1/1/2060
2061-01-012	375.8249	72.635	214464.8065	117.5855	461411652_CC	1/1/2061
2062-01-012	380.0507	72.635	213259.7904	122.9758	461411652_CC	1/1/2062
2063-01-012	386.6535	72.635	198347.3624	145.334	461411652_CC	1/1/2063
2064-01-012	383.6408	72.834	214398.5117	134.2725	461411652_CC	1/1/2064
2065-01-012	388.0508	72.635	229895.1922	152.7432	461411652_CC	1/1/2065
2066-01-012	357.4994	72.635	228540.9268	135.1354	461411652_CC	1/1/2066
2067-01-012	345.6775	72.635	210858.3374	137.7152	461411652_CC	1/1/2067
2068-01-012	344.0967	72.834	222825.7134	115.1155	461411652_CC	1/1/2068
2069-01-012	383.1144	72.635	217887.4236	155.5966	461411652_CC	1/1/2069
2070-01-012	339.2628	72.635	202416.2353	124.1586	461411652_CC	1/1/2070
2071-01-012	340.7516	72.635	198835.8109	137.9611	461411652_CC	1/1/2071
2072-01-012	342.8685	72.834	194547.0593	130.5383	461411652_CC	1/1/2072
2073-01-012	329.7843	72.5891	206029.7525	115.3568	461411652_CC	1/1/2073
2074-01-012	358.0342	72.635	222145.6262	135.4634	461411652_CC	1/1/2074
2075-01-012	311.5736	72.635	233599.9155	99.305	461411652_CC	1/1/2075
2076-01-012	319.2886	72.834	228502.5152	118.1057	461411652_CC	1/1/2076
2077-01-012	364.7437	72.635	234785.5348	126.1256	461411652_CC	1/1/2077
2078-01-012	342.0521	72.635	220068.7904	125.9269	461411652_CC	1/1/2078
2079-01-012	327.873	72.635	232643.3542	139.2355	461411652_CC	1/1/2079
2080-01-012	352.8708	72.834	271088.6608	129.7593	461411652_CC	1/1/2080
2081-01-012	336.8612	72.635	260458.0401	142.1105	461411652_CC	1/1/2081
2082-01-012	366.9239	72.635	254473.3875	148.1328	461411652_CC	1/1/2082
2083-01-012	350.8151	72.635	229579.4416	141.935	461411652_CC	1/1/2083
2084-01-012	324.7935	72.834	239452.8807	145.4797	461411652_CC	1/1/2084
2085-01-012	300.3526	72.635	255262.2888	124.8642	461411652_CC	1/1/2085
