	ET	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	cell	date
1/1/2055	18.8592	11.2825	118019.7009	2.5672	453911731_CCF	1/1/2055
1/1/2056	447.4314	38.4673	97329.0077	140.4723	453911731_CCF	1/1/2056
1/1/2057	420.7324	35.8082	86594.2441	107.9899	453911731_CCF	1/1/2057
1/1/2058	441.2235	31.9894	111163.6616	153.7262	453911731_CCF	1/1/2058
1/1/2059	409.6444	29.0936	113022.7806	150.1533	453911731_CCF	1/1/2059
1/1/2060	441.4366	34.9977	119235.6287	143.4496	453911731_CCF	1/1/2060
1/1/2061	430.5671	41.7885	111542.4511	117.5174	453911731_CCF	1/1/2061
1/1/2062	465.0159	41.5324	97179.5834	126.889	453911731_CCF	1/1/2062
1/1/2063	372.2031	39.3703	95368.8729	117.5725	453911731_CCF	1/1/2063
1/1/2064	389.4647	35.4036	93095.93	124.9575	453911731_CCF	1/1/2064
1/1/2065	350.5321	28.8179	86427.3871	125.7199	453911731_CCF	1/1/2065
1/1/2066	427.3548	23.8444	93736.426	154.6365	453911731_CCF	1/1/2066
1/1/2067	439.953	24.0507	115105.3357	114.621	453911731_CCF	1/1/2067
1/1/2068	401.4255	27.8084	100964.3726	122.6161	453911731_CCF	1/1/2068
1/1/2069	364.2449	26.8853	93225.1766	125.2991	453911731_CCF	1/1/2069
1/1/2070	425.691	25.14	99332.1886	141.5211	453911731_CCF	1/1/2070
1/1/2071	400.9042	23.0127	96899.964	156.9553	453911731_CCF	1/1/2071
1/1/2072	370.9049	23.668	104514.6898	122.7532	453911731_CCF	1/1/2072
1/1/2073	395.6787	22.7102	95027.8824	121.6193	453911731_CCF	1/1/2073
1/1/2074	430.2582	20.3144	92348.0905	102.7129	453911731_CCF	1/1/2074
1/1/2075	364.4145	8.5834	88054.3929	147.6693	453911731_CCF	1/1/2075
1/1/2076	397.1442	0	107801.5613	152.6514	453911731_CCF	1/1/2076
1/1/2077	352.7714	8.738	98993.7635	129.735	453911731_CCF	1/1/2077
1/1/2078	384.3575	1.4439	96468.8419	132.8733	453911731_CCF	1/1/2078
1/1/2079	440.2223	15.6606	112489.3184	142.0302	453911731_CCF	1/1/2079
1/1/2080	431.9708	23.7181	113318.9596	128.677	453911731_CCF	1/1/2080
1/1/2081	364.1816	22.1017	93837.3722	122.8754	453911731_CCF	1/1/2081
1/1/2082	389.9666	15.6962	95436.4011	137.8	453911731_CCF	1/1/2082
1/1/2083	393.2988	5.00E-04	108179.7311	154.3094	453911731_CCF	1/1/2083
1/1/2084	416.8386	24.5384	111094.282	115.7535	453911731_CCF	1/1/2084
1/1/2085	381.7358	24.3349	98969.1432	124.001	453911731_CCF	1/1/2085
2055-01-011	9.396	1.3505	102358.4034	1.8196	476411993_CF	1/1/2055
2056-01-011	383.1006	1.3643	107129.4406	103.1852	476411993_CF	1/1/2056
2057-01-011	223.5175	1.4095	68478.2161	88.6431	476411993_CF	1/1/2057
2058-01-011	343.0432	1.3897	77785.6655	116.7414	476411993_CF	1/1/2058
2059-01-011	191.8325	1.1429	68774.0053	94.0617	476411993_CF	1/1/2059
2060-01-011	306.8907	0.4007	80598.3858	110.0222	476411993_CF	1/1/2060
2061-01-011	299.3402	0.0309	76049.7466	79.6896	476411993_CF	1/1/2061
2062-01-011	318.7703	0.0292	67169.8728	101.1292	476411993_CF	1/1/2062
2063-01-011	308.2979	0.0327	83088.9081	97.0615	476411993_CF	1/1/2063
2064-01-011	235.5264	0.0319	80274.1527	74.2237	476411993_CF	1/1/2064
2065-01-011	227.2024	0.0325	82934.4343	59.1772	476411993_CF	1/1/2065
2066-01-011	252.4788	0.0326	80981.1563	93.5931	476411993_CF	1/1/2066
2067-01-011	351.3255	0.0347	87914.6117	94.9248	476411993_CF	1/1/2067
2068-01-011	306.4732	0.0329	79886.2111	104.9695	476411993_CF	1/1/2068
2069-01-011	238.8621	0.0326	78585.1342	71.6908	476411993_CF	1/1/2069
2070-01-011	363.014	0.0341	86242.9929	98.4373	476411993_CF	1/1/2070
2071-01-011	240.0149	0.0296	63379.0553	121.3803	476411993_CF	1/1/2071
2072-01-011	168.7012	0.0286	63681.9647	73.7807	476411993_CF	1/1/2072
2073-01-011	277.3578	0.0308	74134.3466	124.6478	476411993_CF	1/1/2073
2074-01-011	339.335	0.0336	78011.7229	108.7163	476411993_CF	1/1/2074
2075-01-011	273.3156	0.0286	68595.1477	125.032	476411993_CF	1/1/2075
2076-01-011	271.1562	0.029	68171.6418	143.7191	476411993_CF	1/1/2076
2077-01-011	224.7153	0.0312	74803.4275	108.5532	476411993_CF	1/1/2077
2078-01-011	284.2969	0.0328	82038.9621	106.6382	476411993_CF	1/1/2078
2079-01-011	328.9273	0.0334	78844.7975	96.0151	476411993_CF	1/1/2079
2080-01-011	296.354	0.03	74635.0022	72.3425	476411993_CF	1/1/2080
2081-01-011	205.7112	0.0257	60378.1539	109.7839	476411993_CF	1/1/2081
2082-01-011	218.4628	0.0252	61852.8497	94.7676	476411993_CF	1/1/2082
2083-01-011	188.8533	0.0271	69218.8592	89.827	476411993_CF	1/1/2083
2084-01-011	375.4483	0.0366	94544.6599	120.4742	476411993_CF	1/1/2084
2085-01-011	184.1343	0.0333	70132.436	89.0497	476411993_CF	1/1/2085
2055-01-012	-24.4575	22.5383	191494.1555	2.0993	461411652_CC	1/1/2055
2056-01-012	461.2044	63.5852	177210.2392	150.9764	461411652_CC	1/1/2056
2057-01-012	401.9304	66.3138	181400.3694	120.67	461411652_CC	1/1/2057
2058-01-012	415.9286	72.3618	215843.3439	132.5303	461411652_CC	1/1/2058
2059-01-012	417.0165	72.635	201707.5553	158.172	461411652_CC	1/1/2059
2060-01-012	387.4796	72.834	242218.6551	129.0192	461411652_CC	1/1/2060
2061-01-012	413.3046	72.635	245139.4502	116.0622	461411652_CC	1/1/2061
2062-01-012	423.245	72.635	238624.8306	125.3805	461411652_CC	1/1/2062
2063-01-012	436.4823	72.635	227110.1979	133.3847	461411652_CC	1/1/2063
2064-01-012	401.077	72.834	197084.004	127.0865	461411652_CC	1/1/2064
2065-01-012	372.6215	72.5308	178826.6935	136.3166	461411652_CC	1/1/2065
2066-01-012	402.7114	71.9235	192974.3836	145.935	461411652_CC	1/1/2066
2067-01-012	403.189	72.635	227624.7833	121.819	461411652_CC	1/1/2067
2068-01-012	403.5562	72.834	234550.1961	118.3958	461411652_CC	1/1/2068
2069-01-012	359.2309	72.635	237575.4437	111.3399	461411652_CC	1/1/2069
2070-01-012	421.2294	72.635	236939.5284	127.2064	461411652_CC	1/1/2070
2071-01-012	418.6435	72.635	219075.8235	150.8781	461411652_CC	1/1/2071
2072-01-012	363.4585	72.834	228720.1606	108.3749	461411652_CC	1/1/2072
2073-01-012	394.2938	72.635	221375.8354	111.5913	461411652_CC	1/1/2073
2074-01-012	364.7091	72.635	240720.4357	94.5038	461411652_CC	1/1/2074
2075-01-012	413.9613	72.635	235179.7768	130.7837	461411652_CC	1/1/2075
2076-01-012	354.989	72.834	236977.7549	145.8757	461411652_CC	1/1/2076
2077-01-012	403.6057	72.635	216882.1481	129.3576	461411652_CC	1/1/2077
2078-01-012	385.8644	72.635	216903.1089	133.7777	461411652_CC	1/1/2078
2079-01-012	395.9842	72.635	248940.1008	125.8237	461411652_CC	1/1/2079
2080-01-012	418.7038	72.834	250719.8648	122.575	461411652_CC	1/1/2080
2081-01-012	390.2682	72.635	215252.619	111.285	461411652_CC	1/1/2081
2082-01-012	406.6842	72.635	198354.3716	140.2913	461411652_CC	1/1/2082
2083-01-012	336.4934	72.635	221338.0405	141.3977	461411652_CC	1/1/2083
2084-01-012	352.5142	72.834	254924.5527	106.2372	461411652_CC	1/1/2084
2085-01-012	379.2557	72.635	235948.0909	111.2586	461411652_CC	1/1/2085
