ET	Runoff	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	date	cell
419.733	21.943	3.0531	123612.142	136.5075	1/1/1981	476811793_CCF
390.4526	20.3654	3.1835	114822.6684	99.3979	1/1/1982	476811793_CCF
414.5935	32.2089	3.5785	125913.3178	141.7899	1/1/1983	476811793_CCF
428.2462	25.0634	28.5104	123833.421	128.3208	1/1/1984	476811793_CCF
325.277	11.2333	8.204	101431.0954	76.4928	1/1/1985	476811793_CCF
377.7261	18.2971	3.7079	110413.9793	101.5187	1/1/1986	476811793_CCF
363.6441	14.5793	3.5626	101056.1726	113.2966	1/1/1987	476811793_CCF
391.3696	13.3009	3.3435	102357.0971	103.6793	1/1/1988	476811793_CCF
408.6172	13.6178	3.0682	99043.5323	111.9722	1/1/1989	476811793_CCF
401.4524	14.1814	2.7405	104049.1371	109.9622	1/1/1990	476811793_CCF
419.8311	16.3547	2.5393	109585.4372	138.461	1/1/1991	476811793_CCF
358.2954	11.0435	2.3068	96709.2489	119.4709	1/1/1992	476811793_CCF
411.8348	15.3109	2.0648	102484.1575	117.8544	1/1/1993	476811793_CCF
381.2401	12.7836	1.7802	97099.3311	111.4639	1/1/1994	476811793_CCF
395.7643	26.4871	1.584	122271.7266	117.8338	1/1/1995	476811793_CCF
425.602	26.9162	1.87	127464.861	117.6673	1/1/1996	476811793_CCF
423.8464	33.2114	2.5745	129756.4964	118.0637	1/1/1997	476811793_CCF
422.099	23.0687	2.7657	111948.0133	107.5515	1/1/1998	476811793_CCF
393.4614	17.5828	2.8064	116007.174	97.6509	1/1/1999	476811793_CCF
430.9134	17.344	2.8548	106567.6151	124.6484	1/1/2000	476811793_CCF
352.5665	10.3817	2.6383	90885.9639	104.078	1/1/2001	476811793_CCF
363.0131	12.03	2.2723	98229.073	93.1594	1/1/2002	476811793_CCF
364.5682	16.6156	2.117	110447.2054	85.6119	1/1/2003	476811793_CCF
373.6685	13.6194	1.9337	93883.1121	116.5128	1/1/2004	476811793_CCF
403.6069	16.6729	1.6151	101068.0602	139.9792	1/1/2005	476811793_CCF
396.8446	24.3875	1.584	123303.2862	101.2993	1/1/2006	476811793_CCF
379.7154	13.3277	1.6535	105131.4987	99.4378	1/1/2007	476811793_CCF
368.6051	9.5092	1.4923	94420.4258	75.8904	1/1/2008	476811793_CCF
384.1153	14.1432	0.7135	98528.2557	101.8612	1/1/2009	476811793_CCF
394.7763	18.4277	0	107369.0106	118.8133	1/1/2010	476811793_CCF
