"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","245","241.7062","7","0","2","0","6.7523","460211823_CC"
"2","1982","323","167.6683","34","0","15","0","5.7636","460211823_CC"
"3","1983","236","169.8371","20","2","14","2","6.1003","460211823_CC"
"4","1984","249","147.7386","6","0","2","0","6.5455","460211823_CC"
"5","1985","257","162.0875","44","2","25","2","4.4914","460211823_CC"
"6","1986","248","184.1274","33","1","21","1","5.523","460211823_CC"
"7","1987","239","145.8099","42","1","17","1","4.4962","460211823_CC"
"8","1988","246","104.9489","12","0","5","0","5.9383","460211823_CC"
"9","1989","248","103.8214","21","0","12","0","5.2099","460211823_CC"
"10","1990","242","139.3837","16","0","0","0","5.8929","460211823_CC"
"11","1991","251","151.4737","6","0","0","0","7.6662","460211823_CC"
"12","1992","234","102.2512","37","1","20","1","4.7526","460211823_CC"
"13","1993","259","198.9125","16","0","10","0","5.9613","460211823_CC"
"14","1994","240","159.2336","31","0","10","0","4.9421","460211823_CC"
"15","1995","245","109.9395","19","0","10","0","6.6603","460211823_CC"
"16","1996","244","194.2562","13","0","8","0","6.8274","460211823_CC"
"17","1997","251","110.2475","28","0","10","0","5.7012","460211823_CC"
"18","1998","241","151.0556","20","0","10","0","5.5416","460211823_CC"
"19","1999","244","133.9362","31","0","10","0","5.7119","460211823_CC"
"20","2000","243","120.1092","22","0","1","0","5.7423","460211823_CC"
"21","2001","261","171.2416","41","0","18","0","4.9731","460211823_CC"
"22","2002","250","124.3817","45","0","14","0","5.3922","460211823_CC"
"23","2003","239","109.3902","19","0","14","0","6.1625","460211823_CC"
"24","2004","248","144.1267","14","0","1","0","6.0416","460211823_CC"
"25","2005","245","162.0142","22","0","3","0","5.9301","460211823_CC"
"26","2006","244","116.1086","8","0","7","0","6.1823","460211823_CC"
"27","2007","108","125.7891","31","0","10","0","5.2235","460211823_CC"
"28","2008","254","134.3998","28","1","14","1","5.4987","460211823_CC"
"29","2009","249","143.4411","32","0","23","0","5.3707","460211823_CC"
"30","2010","251","145.0572","9","0","7","0","6.9215","460211823_CC"
