"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","262","473.9881","62","49","5","0","7.4901","468511764_CCF"
"2","1982","340","253.3312","55","33","17","0","6.3778","468511764_CCF"
"3","1983","256","247.3306","73","45","10","0","6.3397","468511764_CCF"
"4","1984","267","254.2443","51","31","15","0","7.1661","468511764_CCF"
"5","1985","271","246.9861","64","30","27","5","4.5832","468511764_CCF"
"6","1986","256","252.2091","58","35","19","1","5.8662","468511764_CCF"
"7","1987","250","218.5612","62","23","15","3","4.5451","468511764_CCF"
"8","1988","257","202.7248","52","0","19","0","4.5804","468511764_CCF"
"9","1989","262","200.3788","35","8","18","1","5.6745","468511764_CCF"
"10","1990","257","226.5221","51","29","12","0","6.036","468511764_CCF"
"11","1991","263","233.4681","63","36","10","1","6.8073","468511764_CCF"
"12","1992","248","192.0552","66","25","20","2","5.0656","468511764_CCF"
"13","1993","266","226.3825","52","21","10","0","5.6637","468511764_CCF"
"14","1994","253","229.1114","76","33","18","0","4.8864","468511764_CCF"
"15","1995","259","192.635","61","46","10","0","6.4","468511764_CCF"
"16","1996","265","275.2612","58","35","10","0","7.1265","468511764_CCF"
"17","1997","268","242.1964","63","38","10","0","6.062","468511764_CCF"
"18","1998","254","241.0707","60","38","7","0","6.0585","468511764_CCF"
"19","1999","264","211.0434","56","25","9","1","6.2151","468511764_CCF"
"20","2000","255","213.0525","25","3","13","0","6.4656","468511764_CCF"
"21","2001","272","226.4546","85","36","23","0","4.4462","468511764_CCF"
"22","2002","265","201.211","58","29","18","1","5.9803","468511764_CCF"
"23","2003","253","198.1142","24","2","17","2","6.3206","468511764_CCF"
"24","2004","256","208.2736","45","10","16","0","5.7249","468511764_CCF"
"25","2005","256","229.6621","70","32","14","1","5.3396","468511764_CCF"
"26","2006","256","219.5888","26","9","7","0","6.2724","468511764_CCF"
"27","2007","124","215.031","52","20","15","0","5.6739","468511764_CCF"
"28","2008","271","208.0615","46","4","24","2","4.9073","468511764_CCF"
"29","2009","264","209.1427","41","16","14","0","5.7374","468511764_CCF"
"30","2010","257","238.2447","65","44","10","0","6.6102","468511764_CCF"
